id,title,theme_id
1,"Как называется скидка, которую предоставляют постоянным клиентам или партнёрам?",1
2,"Как называется процесс учета и списания продуктов на кухне для контроля их расхода?",1
3,"Кухонный инвентарь в виде двух проволочных шариков, соединённых ручкой, для взбивания продуктов.",1
4,"Французский термин для повара, отвечающего за холодные закуски и оформление блюд. Ответ дайте на русском",1
5,"Процесс нагревания молока до температуры, близкой к точке кипения, для уничтожения микроорганизмов и ферментов.",1
6,"Страна, которая является родиной пиццы и пасты.",2
7,"Самая большая по площади страна в мире.",2
8,"Страна, известная как 'Туманный Альбион'.",2
9,"В какой стране находится самое маленькое в мире государство - Ватикан?",2
10,"Страна, на флаге которой изображен кленовый лист.",2
11,"Музыкальный термин, обозначающий быстрый, оживлённый темп.",3
12,"Название знаменитой рок-оперы Эндрю Ллойда Уэббера о аргентинской первой леди.",3
13,"Сколько струн у классической гитары? Ответ напишите словом",3
14,"Какой музыкальный инструмент используют шаманы в Сибири для ритуалов?",3
15,"Назовите фамилию композитора, создавшего знаменитые 'Времена года'.",3
16,"Специалист, занимающийся изучением и составлением карт.",4
17,"Профессионал, который управляет движением судов в портах и сложных участках водных путей.",4
18,"Специалист по восстановлению повреждённых книг, рукописей и документов.",4
19,"Врач, специализирующийся на заболеваниях полости рта и челюстей.",4
20,"Специалист, занимающийся оценкой стоимости предметов искусства и антиквариата.",4
21,"Какое млекопитающее известно как единственное летающее?",5
22,"Какое животное является самым крупным сухопутным хищником?",5
23,"Какое животное имеет три сердца?",5
24,"Какое млекопитающее откладывает яйца?",5
25,"Какая птица является самой быстрой в беге, но не умеет летать?",5
26,"Сильное чувство досады, вызванное чьим-либо превосходством, успехом.",6
27,"Чувство напряжённого ожидания, беспокойства, предчувствия опасности.",6
28,"Состояние полного равнодушия, безучастности.",6
29,"Чувство злорадной радости при неудаче другого.",6
30,"Преувеличенное самомнение, заносчивость, спесь.",6
31,"Режиссёр, снявший культовый фильм 'Криминальное чтиво'. Назовите фамилию",7
32,"Актриса, сыгравшая роль Маргарет Тэтчер в фильме 'Железная леди'. Назовите фамилию",7
33,"Фильм, получивший рекордные 11 премий 'Оскар' в 2004 году. Ответ состоит из двух слов",7
34,"Режиссёрская техника, показывающая последовательное увеличение или уменьшение масштаба съёмки.",7
35,"Актёр, известный ролью Джокера в фильме 'Тёмный рыцарь'. Назовите фамилию",7
36,"Последняя императрица Российской империи, супруга Николая II.",8
37,"Древнегреческий учёный, который бежал по улице с криком 'Эврика!'.",8
38,"Год, когда человек впервые ступил на поверхность Луны.",8
39,"Династия, которая правила Россией с 1613 по 1917 год.",8
40,"Фамилия братьев, создавших первую в России датированную печатную книгу.",8
41,"Древнеримский полководец, ставший пожизненным диктатором и убитый заговорщиками в мартовские иды.",8
42,"Год окончания Столетней войны между Англией и Францией.",8
43,"Фамилия русского царя, известного как 'Освободитель' за отмену крепостного права.",8
44,"Древнегреческий философ, приговорённый к смерти за 'развращение молодёжи' и отрицание богов.",8
45,"Город, где проходил знаменитый процесс над нацистскими преступниками после Второй мировой войны.",8
46,"Французский термин для повара, отвечающего за соусы и горячие закуски.",1
47,"Профессиональный нож для чистки и нарезки овощей с узким лезвием.",1
48,"Процесс выдерживания мяса в маринаде или специях для размягчения и придания вкуса.",1
49,"Человек, который составляет винные карты и отвечает за подбор вин в ресторане.",1
50,"Небольшая порция еды, которую ресторан предлагает гостям бесплатно перед основными блюдами.",1
51,"Американский кинорежиссёр, известный своими психологическими триллерами 'Зодиак', 'Социальная сеть' и 'Исчезнувшая'.",7
52,"Фамилия актёра, сыгравшего главные роли в фильмах 'Начало' и 'Великий Гэтсби' (2013). Ответ написать слитно",7
53,"Как называется короткий фильм или видео, созданный фанатами на основе существующего популярного произведения? В России распространены рассказы.",7
54,"Фамилия режиссёра, снявшего культовые фильмы 'Расёмон' и 'Семь самураев'.",7
55,"Какая кинопремия ежегодно вручается за лучшие достижения в британском кинематографе?",7
56,"Автор романа 'Мастер и Маргарита'.",9
57,"Единица измерения силы тока.",10
58,"Самая длинная река в мире.",11
59,"Художник, написавший картину 'Крик'.",12
60,"Страна-родоначальник футбола.",13
61,"Компания, создавшая операционную систему iOS.",14
62,"Национальный напиток Японии из ферментированных соевых бобов.",15
63,"Самый большой цветок в мире.",16
64,"Архитектор собора Святого Петра в Риме.",17
65,"Французский модельер, создавший маленькое черное платье.",18
66,"Ближайшая к Земле звезда.",19
67,"Термин для бессознательного защитного механизма психики.",20
68,"Поэт, автор 'Евгения Онегина'.",9
69,"Химический элемент с символом Au.",10
70,"Столица Австралии.",11
71,"Скульптор, создавший 'Давида'.",12
72,"Вид спорта, в котором используется ракетка и волан.",13
73,"Основатель компании Microsoft.",14
74,"Французский десерт из слоеного теста с заварным кремом.",15
75,"Дерево-символ России.",16
76,"Стиль архитектуры с витражами и арками.",17
77,"Итальянский дом моды, известный змеиной символикой.",18
78,"Планета с кольцами.",19
79,"Стадия психосексуального развития по Фрейду в возрасте 3-6 лет.",20
80,"Автор 'Героя нашего времени'.",9
81,"Физик, открывший закон всемирного тяготения.",10
82,"Самое глубокое озеро в мире.",11
83,"Художественное течение, основанное Пабло Пикассо.",12
84,"Олимпийский вид спорта с мячом и корзиной.",13
85,"Язык программирования для веб-разработки.",14
86,"Сыр с плесенью из овечьего молока.",15
87,"Как называется плод дуба?",16
88,"Мавзолей в Индии из белого мрамора.",17
89,"Обувь на платформе 70-х годов.",18
90,"Спутник Земли.",19
91,"Психическое расстройство с перепадами настроения.",20
92,"Поэт Серебряного века, автор 'Лилит'.",9
93,"Раздел физики, изучающий свет.",10
94,"Пустыня в Южной Америке.",11
95,"Русский художник-маринист.",12
96,"Спорт с доской и волнами.",13
97,"Первая компьютерная мышь была из ...",14
98,"Итальянское блюдо из риса с бульоном.",15
99,"Хвойное дерево с шишками.",16
100,"Стиль архитектуры с обилием стекла и металла.",17
101,"Аксессуар для ношения на шее.",18
102,"Красная планета.",19
103,"Нарушение памяти.",20
104,"Автор комедии 'Горе от ума'.",9
105,"Наука о животных.",10
106,"Какое философское течение, основанное Эпикуром, проповедовало стремление к наслаждению как высшему благу?",20
107,"Назовите фамилию русского композитора, автора оперы 'Князь Игорь' и 'Торжественных увертюр'.",3
108,"В какой галактике находится наша Солнечная система?",19
109,"Какое растение является символом Шотландии?",16
110,"Название какого города переводится с казахского как 'медная гора'?",11
111,"Какой химический элемент имеет самую высокую температуру плавления?",10
112,"Кто автор знаменитой скульптуры 'Мыслитель'?",12
113,"Какой вид спорта называют 'королём спорта'?",13
114,"Какая компания разработала процессор Core i7?",14
115,"Какой французский сыр известен своим оранжевым цветом корки и названием в честь региона?",15
116,"Какой архитектурный элемент в виде вертикального выступа стены является также несущей конструкцией?",17
117,"Кто считается основателем психоанализа?",20
118,"Какое литературное произведение начинается словами: 'Мой дядя самых честных правил...'?",9
119,"Какой газ преобладает в атмосфере Венеры?",19
120,"Какое животное является символом медицины?",5
121,"Какая эмоция, по мнению Аристотеля, является catharsis (очищением)?",6
122,"Какой фильм получил 'Золотую пальмовую ветвь' в Каннах в 2022 году?",7
123,"Кто был главным соперником Юлия Цезаря в гражданской войне?",8
124,"Какой соус является основой для приготовления Беарнеза?",1
125,"Какой музыкальный инструмент имеет диапазон в 7 с половиной октав и является королём джаза?",3
126,"Какая профессия связана с определением подлинности и стоимости произведений искусства?",4
127,"Какая птица является национальным символом США?",5
128,"Какое чувство описывает немецкое слово 'Weltschmerz'?",6
129,"Кто режиссёр трилогии 'Долгая помолвка' и 'Микроб и бархат'?",7
130,"Какое сражение стало переломным моментом в Северной войне?",8
131,"Какой русский поэт был убит на дуэли из-за жены французского посла?",9
132,"Какой раздел математики изучает свойства фигур в пространстве?",10
133,"Какая пустыня занимает большую часть территории Аравийского полуострова?",11
134,"Кто написал картину 'Чёрный квадрат'?",12
135,"В какой стране зародилось Карате?",13
136,"Какая технология лежит в основе криптовалют, таких как Биткоин?",14
137,"Какой алкогольный напиток получают из сока голубой агавы?",15
138,"Какое дерево имеет самую твёрдую древесину?",16
139,"В каком архитектурном стиле построен собор Парижской Богоматери?",17
140,"Кто модельер, создавший 'New Look' в послевоенной моде?",18
141,"Какой спутник Сатурна имеет плотную атмосферу и метановые озёра?",19
142,"Какое психическое расстройство характеризуется наличием раздвоения личности?",20
143,"Кто автор философского труда 'Так говорил Заратустра'?",9
144,"Какой элемент является основой органической химии?",10
145,"Какой пролив разделяет Европу и Африку?",11
146,"Кто скульптор монумента 'Родина-мать зовёт!' в Волгограде?",12
147,"Какой вид единоборств был разработан в СССР и сочетает дзюдо и самбо?",13
148,"Кто изобрёл язык программирования Python?",14
149,"Какой вид чая подвергается наибольшей ферментации?",15
150,"Какое растение является символом смерти в японской культуре?",16
151,"Какой русский архитектор является одним из основоположников стиля ампир?",17
152,"Кто основал модный дом Dior?",18
153,"Какой объект в космосе имеет настолько сильную гравитацию, что даже свет не может его покинуть?",19
154,"Какой термин в психологии описывает феномен, когда человек приписывает свои мысли и чувства другим?",20
155,"Кто автор романа 'Игра в бисер'?",9
156,"Какой вулкан уничтожил древнеримские города Помпеи и Геркуланум?",8
157,"Какой соус готовится на основе яичных желтков и оливкового масла?",1
158,"Какой музыкальный термин обозначает постепенное замедление темпа?",3
159,"Какая профессия связана с составлением прогнозов погоды?",4
160,"Какое млекопитающее обладает самым большим мозгом относительно тела?",5
161,"Какое чувство описывает слово 'ностальгия' изначально?",6
162,"Кто режиссёр фильма 'Сталкер'?",7
163,"Какая битва считается концом эпохи викингов в Англии?",8
164,"Кто автор поэмы 'Двенадцать'?",9
165,"Какой закон физики гласит, что 'тело, погружённое в жидкость, теряет в своём весе столько, сколько весит вытесненная им жидкость'?",10
166,"Какое озеро является самым солёным в мире?",11
167,"Кто художник, автор триптиха 'Сад земных наслаждений'?",12
168,"В какой стране был изобретён гольф?",13
169,"Какая компания создала первый коммерчески успешный графический пользовательский интерфейс?",14
170,"Из какого зерна производится традиционная японская водка саке?",15
171,"Какое растение является природным источником аспирина?",16
172,"В каком архитектурном стиле построен Эмпайр-стейт-билдинг?",17
173,"Какой головной убор стал символом русской зимы и меховой моды?",18
174,"Какой тип звёзд является 'трупом' массивной звезды после вспышки сверхновой?",19
175,"Кто ввёл понятие 'архетип' в аналитическую психологию?",20
176,"Кто автор пьесы 'Вишнёвый сад'?",9
177,"Какой химический элемент необходим для образования хлорофилла в растениях?",10
178,"Какой водопад является самым мощным в Европе?",11
179,"Кто скульптор памятника Петру I 'Медный всадник' в Санкт-Петербурге?",12
180,"Какой вид спорта называется 'шахматы на лужайке'?",13
181,"Какая социальная сеть была приобретена Марком Цукербергом в 2012 году?",14
182,"Какой десерт представляет собой замороженный сладкий крем на основе молока или сливок?",15
183,"Какое дерево называют 'железным' из-за прочности его древесины?",16
184,"Какой архитектор спроектировал стеклянную пирамиду Лувра?",17
185,"Кто модельер, известный своими авангардными designs и скелетообразными платьями?",18
186,"Какой космический аппарат первым достиг межзвёздного пространства?",19
187,"Какой психолог разработал теорию социального научения?",20
188,"Кто автор романа 'Улисс'?",9
189,"Какой элемент в таблице Менделеева обозначается символом Hg?",10
190,"Какая горная система является самой длинной в мире?",11
191,"Кто художник-прерафаэлит, автор картины 'Офелия'?",12
192,"В какой стране зародился современный теннис?",13
193,"Какая компания разработала первый в мире коммерческий смартфон Simon?",14
194,"Какой пряностью является высушенная кора дерева?",15
195,"Какое растение является символом бессмертия в Китае?",16
196,"В каком архитектурном стиле выполнена церковь Покрова на Нерли?",17
197,"Кто обувной дизайнер, известный своими туфлями на платформе 70-х?",18
198,"Какой планетарий является старейшим в мире?",19
199,"Какое когнитивное искажение заставляет людей переоценивать значимость информации, которая у них есть?",20
200,"Кто автор концепции 'сверхчеловека'?",9
201,"Какой русский царь основал город Санкт-Петербург?",8
202,"Какой кулинарный приём используется для создания воздушной текстуры за счёт насыщения массы пузырьками газа?",1
203,"Какой музыкальный инструмент, изобретённый Антонио Страдивари, имеет диапазон выше скрипки?",3
204,"Какая профессия связана с изучением и интерпретацией древних надписей?",4
205,"Какое животное является самым громким на Земле?",5
206,"Какое сверхъестественное существо в славянской мифологии обитает в бане и может запарить до смерти?",21
207,"Какой экономический показатель измеряет общую стоимость товаров и услуг, произведенных в стране за год?",22
208,"Какой лингвистический термин описывает явление, когда слово теряет свое первоначальное негативное значение?",23
209,"Какой антропологический термин описывает правило брака, запрещающее связь внутри определенной социальной группы?",24
210,"Какой метод шифрования использовала Германия во Второй мировой войне с помощью роторной машины?",25
211,"Кто автор цикла научно-фантастических романов 'Основание'?",26
212,"Какой метод идентификации личности был разработан Альфонсом Бертильоном?",27
213,"Какой дипломатический термин описывает полную неприкосновенность дипломатической почты?",28
